,Station ID,Capacity,Latitude,Longitude,Station Name
0,1,19,51.529163,-0.10997,"River Street , Clerkenwell"
1,2,37,51.499606,-0.197574,"Phillimore Gardens, Kensington"
2,3,32,51.521283,-0.084605,"Christopher Street, Liverpool Street"
3,4,23,51.530059,-0.120973,"St. Chad's Street, King's Cross"
4,5,27,51.49313,-0.156876,"Sedding Street, Sloane Square"
5,6,18,51.518117,-0.144228,"Broadcasting House, Marylebone"
6,7,16,51.5343,-0.168074,"Charlbert Street, St. John's Wood"
7,8,18,51.528341,-0.170134,"Lodge Road, St. John's Wood"
8,9,19,51.507385,-0.09644,"New Globe Walk, Bankside"
9,10,18,51.505974,-0.092754,"Park Street, Bankside"
10,11,24,51.523951,-0.122502,"Brunswick Square, Bloomsbury"
11,12,49,51.52168,-0.130431,"Malet Street, Bloomsbury"
12,13,21,51.519914,-0.136039,"Scala Street, Fitzrovia"
13,14,48,51.529943,-0.123616,"Belgrove Street , King's Cross"
14,15,26,51.517727,-0.127854,"Great Russell Street, Bloomsbury"
15,16,22,51.526357,-0.125979,"Cartwright Gardens , Bloomsbury"
16,17,26,51.521661,-0.109006,"Hatton Wall, Holborn"
17,18,27,51.51477,-0.122219,"Drury Lane, Covent Garden"
18,19,30,51.52505,-0.131161,"Taviton Street, Bloomsbury"
19,20,28,51.527736,-0.135273,"Drummond Street , Euston"
20,21,16,51.530078,-0.138846,"Hampstead Road (Cartmel), Euston"
21,22,19,51.522264,-0.114079,"Northington Street , Holborn"
22,23,16,51.519435,-0.119123,"Red Lion Square, Holborn"
23,24,35,51.51908,-0.124678,"British Museum, Bloomsbury"
24,25,32,51.528833,-0.13225,"Doric Way , Somers Town"
25,26,21,51.52728,-0.118295,"Ampton Street , Clerkenwell"
26,27,33,51.513821,-0.107927,"Bouverie Street, Temple"
27,28,19,51.523518,-0.143613,"Bolsover Street, Fitzrovia"
28,29,22,51.513735,-0.193487,"Hereford Road, Bayswater"
29,30,24,51.529154,-0.093421,"Windsor Terrace, Hoxton"
30,31,36,51.529537,-0.083353,"Fanshaw Street, Hoxton"
31,32,43,51.524696,-0.084439,"Leonard Circus , Shoreditch"
32,33,18,51.5156,-0.070056,"Central House, Aldgate"
33,34,16,51.534123,-0.129386,"Pancras Road, King's Cross"
34,36,28,51.501737,-0.18498,"De Vere Gardens, Kensington"
35,37,17,51.491593,-0.192369,"Penywern Road, Earl's Court"
36,38,17,51.497387,-0.197245,"Abingdon Villas, Kensington"
37,39,41,51.526377,-0.07813,"Shoreditch High Street, Shoreditch"
38,40,16,51.52127,-0.075578,"Commercial Street, Shoreditch"
39,42,28,51.530991,-0.093903,"Wenlock Road , Hoxton"
